iter	Passed	Remaining
473	667	740
474	668	738
475	669	736
476	670	734
477	671	732
478	671	730
479	672	728
480	673	726
481	674	724
482	675	723
483	677	721
484	678	720
485	679	718
486	680	716
487	681	714
488	681	712
489	682	710
490	683	708
491	684	706
492	685	704
493	686	703
494	687	701
495	688	699
496	688	697
497	689	695
498	691	694
499	692	692
500	693	690
501	694	688
502	695	687
503	696	685
504	697	683
505	698	681
506	699	679
507	699	677
508	700	675
509	701	673
510	702	672
511	703	670
512	704	668
513	704	666
514	706	665
515	707	663
516	708	662
517	709	660
518	710	658
519	711	656
520	712	655
521	713	653
522	714	651
523	715	649
524	716	647
525	717	646
526	718	644
527	718	642
528	719	641
529	721	640
530	722	638
531	723	636
532	724	634
533	725	632
534	726	631
535	727	629
536	727	627
537	728	625
538	729	623
539	730	622
540	731	620
541	732	618
542	732	616
543	733	615
544	734	613
545	736	612
546	737	610
547	738	609
548	739	607
549	740	605
550	741	604
551	742	602
552	743	600
553	744	598
554	744	597
555	745	595
556	746	593
557	747	591
558	748	590
559	749	588
560	751	587
561	752	586
562	753	584
563	754	583
564	755	581
565	756	580
566	757	578
567	758	576
568	759	575
569	760	573
570	761	571
571	762	570
572	763	568
573	764	567
574	765	566
575	767	564
576	768	563
577	768	561
578	769	559
579	770	558
580	771	556
581	772	554
582	773	553
583	774	551
584	775	550
585	776	548
586	777	547
587	778	545
588	779	543
589	780	542
590	781	541
591	782	539
592	783	537
593	784	536
594	785	534
595	786	533
596	787	531
597	788	529
598	788	528
599	789	526
600	790	524
601	791	523
602	792	521
603	793	520
604	794	518
605	796	517
606	797	516
607	797	514
608	798	512
609	799	511
610	800	509
611	801	508
612	802	506
613	803	505
614	804	503
615	805	501
616	806	500
617	807	499
618	808	497
619	809	496
620	810	494
621	811	493
622	812	491
623	813	490
624	814	488
625	815	487
626	816	485
627	817	484
628	818	482
629	819	481
630	821	480
631	821	478
632	822	477
633	823	475
634	824	474
635	826	473
636	827	471
637	828	470
638	829	468
639	830	467
640	831	465
641	832	464
642	833	462
643	833	461
644	835	459
645	836	458
646	837	456
647	838	455
648	839	453
649	840	452
650	841	451
651	842	449
652	843	448
653	845	447
654	846	445
655	847	444
656	847	442
657	848	441
658	850	439
659	850	438
660	852	436
661	853	435
662	853	434
663	854	432
664	856	431
665	858	430
666	859	428
667	860	427
668	861	426
669	862	424
670	863	423
671	864	422
672	866	420
673	867	419
674	868	418
675	869	416
676	871	415
677	872	414
678	873	412
679	874	411
680	875	410
681	876	408
682	878	407
683	879	406
684	880	404
685	881	403
686	883	402
687	884	400
688	885	399
689	886	398
690	887	397
691	888	395
692	890	394
693	891	392
694	892	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	381
702	901	380
703	902	379
704	903	377
705	904	376
706	905	375
707	906	374
708	907	372
709	908	371
710	909	369
711	910	368
712	911	367
713	912	365
714	913	364
715	915	363
716	916	361
717	917	360
718	918	358
719	919	357
720	920	356
721	921	354
722	922	353
723	923	351
724	924	350
725	924	349
726	925	347
727	926	346
728	927	344
729	928	343
730	929	342
731	931	340
732	931	339
733	932	338
734	933	336
735	934	335
736	935	333
737	936	332
738	937	331
739	938	329
740	939	328
741	939	326
742	940	325
743	941	324
744	942	322
745	943	321
746	945	320
747	946	318
748	947	317
749	948	316
750	949	314
751	950	313
752	951	312
753	952	310
754	953	309
755	954	307
756	955	306
757	956	305
758	956	303
759	957	302
760	958	301
761	960	299
762	961	298
763	962	297
764	963	295
765	963	294
766	964	293
767	965	291
768	966	290
769	967	288
770	968	287
771	969	286
772	969	284
773	970	283
774	971	282
775	972	280
776	973	279
777	974	278
778	976	276
779	977	275
780	978	274
781	979	272
782	980	271
783	981	270
784	982	269
785	983	267
786	984	266
787	986	265
788	987	264
789	989	263
790	990	261
791	991	260
792	993	259
793	994	257
794	995	256
795	996	255
796	997	254
797	998	252
798	999	251
799	1000	250
800	1002	249
801	1004	248
802	1005	246
803	1006	245
804	1008	244
805	1009	242
806	1010	241
807	1011	240
808	1012	239
809	1013	237
810	1014	236
811	1015	235
812	1016	233
813	1018	232
814	1019	231
815	1020	230
816	1021	228
817	1022	227
818	1024	226
819	1025	225
820	1026	223
821	1027	222
822	1028	221
823	1029	219
824	1030	218
825	1032	217
826	1034	216
827	1035	215
828	1036	213
829	1037	212
830	1039	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
835	1045	205
836	1046	203
837	1046	202
838	1048	201
839	1049	199
840	1050	198
841	1051	197
842	1053	196
843	1054	194
844	1055	193
845	1055	192
846	1056	190
847	1057	189
848	1058	188
849	1060	187
850	1061	185
851	1063	184
852	1065	183
853	1066	182
854	1067	180
855	1068	179
856	1069	178
857	1070	177
858	1071	175
859	1072	174
860	1073	173
861	1074	172
862	1076	170
863	1077	169
864	1078	168
865	1079	167
866	1081	165
867	1082	164
868	1082	163
869	1083	161
870	1084	160
871	1085	159
872	1086	158
873	1087	156
874	1088	155
875	1089	154
876	1090	152
877	1091	151
878	1092	150
879	1094	149
880	1094	147
881	1095	146
882	1096	145
883	1097	144
884	1098	142
885	1099	141
886	1100	140
887	1101	138
888	1102	137
889	1103	136
890	1103	135
891	1104	133
892	1105	132
893	1106	131
894	1108	130
895	1109	128
896	1110	127
897	1111	126
898	1112	124
899	1113	123
900	1114	122
901	1115	121
902	1115	119
903	1116	118
904	1117	117
905	1118	116
906	1119	114
907	1120	113
908	1121	112
909	1123	111
910	1124	109
911	1125	108
912	1126	107
913	1127	106
914	1128	104
915	1128	103
916	1129	102
917	1130	101
918	1131	99
919	1132	98
920	1133	97
921	1134	95
922	1135	94
923	1136	93
924	1137	92
925	1138	91
926	1139	89
927	1140	88
928	1141	87
929	1142	86
930	1143	84
931	1144	83
932	1145	82
933	1146	81
934	1147	79
935	1148	78
936	1149	77
937	1150	76
938	1150	74
939	1151	73
940	1153	72
941	1154	71
942	1155	69
943	1156	68
944	1157	67
945	1158	66
946	1158	64
947	1159	63
948	1160	62
949	1161	61
950	1162	59
951	1163	58
952	1164	57
953	1165	56
954	1166	54
955	1167	53
956	1168	52
957	1169	51
958	1170	50
959	1171	48
960	1172	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1177	41
966	1177	40
967	1178	38
968	1179	37
969	1180	36
970	1181	35
971	1183	34
972	1184	32
973	1185	31
974	1186	30
975	1187	29
976	1188	27
977	1188	26
978	1189	25
979	1190	24
980	1191	23
981	1192	21
982	1193	20
983	1194	19
984	1195	18
985	1196	16
986	1197	15
987	1199	14
988	1200	13
989	1201	12
990	1202	10
991	1203	9
992	1204	8
993	1205	7
994	1206	6
995	1207	4
996	1208	3
997	1208	2
998	1209	1
999	1210	0
